Generation,Best Fitness,Position X,Position Y
162,3016.4026838432683,11405,80212
163,3016.4026838432683,11405,80212
164,3020.2026553372325,11445,82115
165,3016.4026838432683,11405,80212
166,3016.4026838432683,11405,80212
167,3016.4026838432683,11405,80212
168,3016.4026838432683,11405,80212
169,3016.4026838432683,11405,80212
170,3016.4026838432683,11405,80212
171,3016.4026838432683,11405,80212
172,3016.4026838432683,11405,80212
173,3016.4026838432683,11405,80212
174,3016.4026838432683,11405,80212
175,3016.4026838432683,11405,80212
176,3016.4026838432683,11405,80212
177,3016.4026838432683,11405,80212
178,3016.4026838432683,11405,80212
179,3016.4026838432683,11405,80212
180,3016.4026838432683,11405,80212
181,3016.4026838432683,11405,80212
182,3016.4026838432683,11405,80212
183,3024.152627430378,11485,84040
184,3020.7026483050895,11455,82594
185,3020.7026483050895,11455,82594
186,3020.7026483050895,11455,82594
187,3020.7026483050895,11455,82594
188,3020.7026483050895,11455,82594
189,3020.7026483050895,11455,82594
190,3020.7026483050895,11455,82594
191,3020.7026483050895,11455,82594
192,3020.7026483050895,11455,82594
193,3024.152627430378,11485,84040
194,3024.152627430378,11485,84040
195,3024.152627430378,11485,84040
196,3024.152627430378,11485,84040
197,3024.152627430378,11485,84040
198,3024.152627430378,11485,84040
199,3024.152627430378,11485,84040
200,3024.152627430378,11485,84040
201,3024.152627430378,11485,84040
202,3024.152627430378,11485,84040
203,3024.152627430378,11485,84040
204,3024.152627430378,11485,84040
205,3024.152627430378,11485,84040
206,3024.152627430378,11485,84040
207,3024.152627430378,11485,84040
208,3024.152627430378,11485,84040
209,3024.152627430378,11485,84040
210,3024.152627430378,11485,84040
211,3024.152627430378,11485,84040
212,3024.152627430378,11485,84040
213,3026.602620545078,11495,84525
214,3024.152627430378,11485,84040
215,3024.152627430378,11485,84040
216,3024.152627430378,11485,84040
217,3026.1026274303777,11485,84040
218,3024.152627430378,11485,84040
219,3024.152627430378,11485,84040
220,3024.152627430378,11485,84040
221,3024.152627430378,11485,84040
222,3024.152627430378,11485,84040
223,3024.152627430378,11485,84040
224,3024.152627430378,11485,84040
225,3024.152627430378,11485,84040
226,3024.152627430378,11485,84040
227,3024.152627430378,11485,84040
228,3024.152627430378,11485,84040
229,3024.152627430378,11485,84040
230,3024.152627430378,11485,84040
231,3024.152627430378,11485,84040
232,3024.152627430378,11485,84040
233,3024.152627430378,11485,84040
234,3024.152627430378,11485,84040
235,3024.152627430378,11485,84040
236,3024.152627430378,11485,84040
237,3024.152627430378,11485,84040
